url,address,year_built,condition,wear_percent,lat,lon
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1401516,"ул. Балаковская, 25в, Астрахань, Астраханская область",2023,Исправный,0,46.3551981,47.9825927
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1389188,"ул. Васильковая, 7, Астрахань, Астраханская область",2023,Исправный,2,46.3270738,48.015795
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1405840,"ул. Космонавта Комарова, Строение 59б, Астрахань, Астраханская область",2023,Исправный,,46.3564855,48.1180176
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1417374,"ул. Набережная Приволжского затона, 45, Астрахань, Астраханская область",2023,Исправный,0,46.3341289,48.0078286
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1379746,"ул. Набережная Приволжского затона, 47, Астрахань, Астраханская область",2023,Исправный,0,46.333677,48.0074868
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1397431,"ул. Чехова, 96, Астрахань, Астраханская область",2023,Исправный,0,46.3673368,48.042717
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1304313,"ул. 1-я Железнодорожная, 53, Астрахань, Астраханская область",,Аварийный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1224620,"ул. 1-я Литейная, 10, Астрахань, Астраханская область",1961,Аварийный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1251083,"ул. 1-я Литейная, 16, Астрахань, Астраханская область",1965,Аварийный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/658019,"ул. 1-я Железнодорожная, 14, Астрахань, Астраханская область",1990,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/658020,"ул. 1-я Железнодорожная, 16, Астрахань, Астраханская область",1990,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/658021,"ул. 1-я Железнодорожная, 16 корпус 2, Астрахань, Астраханская область",1990,Исправный,36,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/661726,"ул. 1-я Железнодорожная, 22, Астрахань, Астраханская область",1988,Исправный,28,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/658022,"ул. 1-я Железнодорожная, 26, Астрахань, Астраханская область",1983,Исправный,45,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/658023,"ул. 1-я Железнодорожная, 32, Астрахань, Астраханская область",1984,Исправный,49,,
